timestamp,lat,lon,heading
0.0,12.9716,77.5946,90.0
2.0,12.971606,77.59463,90.0
4.0,12.971612,77.59466,90.0
6.0,12.971618,77.59469,90.0
8.0,12.971624,77.59472,90.0
10.0,12.97163,77.59475,90.0
12.0,12.971636,77.59478,90.0
14.0,12.971642,77.59481,90.0
16.0,12.971648,77.59484,90.0
18.0,12.971654,77.59487,90.0
20.0,12.97166,77.5949,90.0
22.0,12.971666,77.59493,90.0
24.0,12.971672,77.59496,90.0
26.0,12.971678,77.59499,90.0
28.0,12.971684,77.59502,90.0
30.0,12.97169,77.59505,90.0
32.0,12.971696,77.59508,90.0
34.0,12.971702,77.59511,90.0
36.0,12.971708,77.59514,90.0
38.0,12.971714,77.59517,90.0
40.0,12.97172,77.5952,90.0
42.0,12.971726,77.59523,90.0
44.0,12.971732,77.59526,90.0
46.0,12.971738,77.59529,90.0
48.0,12.971744,77.59532,90.0
50.0,12.97175,77.59535,90.0
52.0,12.971756,77.59538,90.0
54.0,12.971762,77.59541,90.0
56.0,12.971768,77.59544,90.0
58.0,12.971774,77.59547,90.0
60.0,12.97178,77.5955,90.0
62.0,12.971786,77.59553,90.0
64.0,12.971792,77.59556,90.0
66.0,12.971798,77.59559,90.0
68.0,12.971804,77.59562,90.0
70.0,12.97181,77.59565,90.0
72.0,12.971816,77.59568,90.0
74.0,12.971822,77.59571,90.0
76.0,12.971828,77.59574,90.0
78.0,12.971834,77.59577,90.0
80.0,12.97184,77.5958,90.0
82.0,12.971846,77.59583,90.0
84.0,12.971852,77.59586,90.0
86.0,12.971858,77.59589,90.0
88.0,12.971864,77.59592,90.0
90.0,12.97187,77.59595,90.0
92.0,12.971876,77.59598,90.0
94.0,12.971882,77.59601,90.0
96.0,12.971888,77.59604,90.0
98.0,12.971894,77.59607,90.0
100.0,12.9719,77.5961,90.0
102.0,12.971906,77.59613,90.0
104.0,12.971912,77.59616,90.0
106.0,12.971918,77.59619,90.0
108.0,12.971924,77.59622,90.0
110.0,12.97193,77.59625,90.0
112.0,12.971936,77.59628,90.0
114.0,12.971942,77.59631,90.0
116.0,12.971948,77.59634,90.0
118.0,12.971954,77.59637,90.0
120.0,12.97196,77.5964,90.0
